id|country|searchterm|job_title|company|job_location|time|applicants|workplace|working_time|job_level|company_size|industry|job_details|job_url|timestamp
0|Italy|Fullstack Developer|Fullstack Developer|WeHunt|Greater Milan Metropolitan Area|3 weeks ago|11 applicants|Hybrid|Full-time|Mid-Senior level|1-10 employees|Human Resources Services|"
          Per innovativa startup in ambito food e di matrice tech con sede a Milano, ricerchiamo un Fullstack Developer con esperienza con PHP + Laravel e React che si integri al team di sviluppo e contribuisca all’implementazione della piattaforma proprietaria. Inoltre, la figura ricercata si occuperà dell’integrazione di API di terze parti.
Requisiti tecnici:Ottima conoscenza di PHP;Esperienza con almeno un framework di PHP (un plus se Laravel); Esperienza nello sviluppo di applicazioni frontend in produzione (preferibilmente ReactJS);Conoscenza di principi SOLID e pratiche di buona programmazione;Conoscenza di concetti di CI, CD, observability e monitoring:Abilità di documentazione e di troubleshooting.
Nice to have:Esperienza e/o interesse in pratiche quali TDD, Pair Programming, BDD, DDD ed Extreme Programming;Esperienza in concetti di Clean Code e Domain Driven Design;Esperienza in aziende di prodotto;Esperienza e/o interesse nei principi DevOps
Benefits:MBO annuale del 10%;Buoni pasto per tutti i giorni lavorativi;Budget formazione per libri/corsi/conferenze e mezza giornata di formazione a settimana;Pizza, sushi e burger a volontà.
Sede: MilanoModalità: Ibrida
    "|https://www.linkedin.com/jobs/view/3144460320|2022-07-25 14:14:37.743098
1|Italy|Fullstack Developer|Backend o Fullstack Developer JAVA/J2EE o ANGULAR|Openjobmetis SpA|Pisa, Tuscany, Italy|2 weeks ago|9 applicants|On-site|Contract|Associate|501-1,000 employees|Human Resources Services|"
          Openjobmetis Spa, Divisione Permanent Placement, selezione per importante realtà del settore ICT & Technology in prov. di Pisa (PI)  BackEnd o FullStack Developer JAVA/J2EE e Angular  Ruolo e mansioni  La figura si occuperà di seguire progetti di sviluppo software all'interno di gruppi di lavoro per la realizzazione di applicazioni software presso le sedi aziendali di Pisa-Firenze-Roma.  Le figure selezionate parteciperanno alla realizzazione, manutenzione e sviluppo evolutivo dei vari applicativi che compongo il progetto. Requisiti- Laurea o diploma in discipline tecniche;- Esperienza di sviluppo software di almeno 1 o 2 anni;- Esperienza nella realizzazione di servizi REST/ Web Services;- Buona pratica con i linguaggi Java8, JavaScript e con CSS; Elementi preferenziali- Conoscenza di Angular 10 o 11, Bootstrap 4 e CSS;- Conoscenza di framework quali Spring Boot, Spring MVC, JPA/Hibernate, Spring Data JPA;- Conoscenza di IDE quali IntelliJ Idea o Eclipse;- Conoscenza dei database PostgreSQL, MySQL e gradita conoscenza di MongoDB;- Conoscenza di architetture a microservizi, approccio DevOps, tecnologie a container (Kubernetes);- Gradita conoscenza delle tecnologie di CI/CD (es. Jenkins, Gitlab). Offerta · Sede di lavoro: Firenze/Pisa/Roma · Inquadramento commisurato alla seniority, RAL: da 22.000 a 32.000· Possibilità di carriera e crescita professionale ·  L’annuncio è rivolto a personale ambosesso in riferimento al D. Lgs. 198/2006. Il Titolare, Openjobmetis S.p.A. - Agenzia per il Lavoro sede legale in Via Bernardino Telesio, n. 18, 20145 Milano, La informa che il trattamento dei dati personali forniti avverrà mediante strumenti manuali, informatici e telematici. Si invitano i candidati a trasmettere esclusivamente dati necessari a valutare il proprio profilo professionale e a non inviare dati particolari e/o sensibili. I Dati saranno trattati dal personale di Openjobmetis e potranno essere comunicati, con profilo anonimo, agli Utilizzatori, interessati ad avvalersi della Sua attività lavorativa. I Dati non saranno diffusi. Per conoscere le modalità di esercizio dei diritti che Le sono conferiti ed avere ulteriori informazioni consulti la Privacy Policy all’indirizzo http://www.openjobmetis.it/it/policy-privacy”. Aut. Prot . N. 1111-SG del 26/11/2004
    "|https://www.linkedin.com/jobs/view/3154501343|2022-07-25 14:14:46.855160
2|Italy|Fullstack Developer|Fullstack Developer|Teoresi Group|Naples, Campania, Italy|3 weeks ago|5 applicants|Hybrid|Full-time|Entry level|501-1,000 employees|IT Services and IT Consulting|"
          Ricerchiamo:
Fullstack Developer 
Il candidato ideale è un laureato in Ingegneria Informatica o Informatica, con esperienza di almeno 1 anno in attività di sviluppo software.
Si richiede:• conoscenza del linguaggio Java• conoscenza di NodeJS, Javascript, Typescript (Angular) o altro linguaggio FE.
Completano il profilo:• Predisposizione al lavoro in team;• Buona conoscenza della lingua inglese;• Disponibilità a trasferte;• Possesso di patente B.
Zona di lavoro: Napoli o Genova

L’offerta è rivolta ad entrambi i sessi in ottemperanza al D.Lgs. 198/2006
Inviando la sua candidatura, verrà a conoscenza della nostra informativa sulla privacy su: http://www.teoresigroup.com/hr-gdpr-ita
    "|https://www.linkedin.com/jobs/view/3139546130|2022-07-25 14:15:10.487302
3|Italy|Fullstack Developer|Fullstack Developer|sedApta Group|Turin, Piedmont, Italy|1 week ago|33 applicants|Hybrid|Full-time|Entry level|201-500 employees|IT Services and IT Consulting|"
          sedApta è leader nello sviluppo di soluzioni IT innovative per l’Industry 4.0.Siamo un gruppo internazionale con headquarters in Italia e sedi in Germania, Francia, Regno Unito e Brasile. Siamo leader nel nostro settore ed insieme condividiamo oltre 25 anni di esperienza nel Manufacturing IT e Supply Chain Management. Oggi, oltre 1000 clienti si affidano ai nostri prodotti per l’ottimizzazione della propria Supply Chain.
Ricerchiamo una figura di Sviluppatore da inserire nel Team di Manufacturing Execution Sistem.
Capacità essenziali richieste dal ruolo:Front-end:HTML, HTML5.CSS.JavaScript.librerie e framework JS (jQuery, Angular, Vue e React).preprocessori CSS (SASS e LESS).design mobile e responsive.sviluppo cross-browser.capacità di test e debugging.
Back-end:Conoscenza C# e del framework .NET.Web services SOAP e REST.Windows Service.Esperienza con architettura a Microservizi.
DataBaseottima conoscenza dei data base relazionali (Sql Server).programmazione stored procedures e function.
Sede di lavoro:Torino.
    "|https://www.linkedin.com/jobs/view/3086765358|2022-07-25 14:15:21.891224
4|Italy|Fullstack Developer|Fullstack Developer (Node.js + Angular)|Docebo|Italy|5 days ago|15 applicants|Remote|Full-time|Entry level|501-1,000 employees|E-Learning Providers|"
          Hey you! 👋 Want to work for one of the fastest growing SaaS companies in the world?📈

We’re building the next generation of learning software that companies like AWS, Netflix, Opentable and L’Oreal rely on to deliver training 💻We believe learning is for everyone, and that we all have something we can learn from each other. We rely on one another to continuously innovate our products and processes to create an exceptional experience for our employees, customers and partners.

Still not sure? We are a culture where values are at the center of everything we do. We also embody what we call the Docebo Heart. We trust our teammates, assume the best of one another, and also hold space for all the differences that make us better. 💙

So what are you waiting for? Apply today! Join 700+ global Docebians and change the way people learn.

Are you ready to be a part of the learning revolution?🚀

About This Opportunity:

We are looking for a Full Stack Developer (Node.JS/Angular) who will play a key role in our product development team by helping develop our award-winning, AI-powered Suite. Your contributions will directly impact the growth and future of Docebo. Our team believes in a positive work-life balance and in doing challenging, yet impactful work.

Reports to: Software Development Manager

Location: Biassono, Italy (or remote in Italy)

Requirements:

3+ Years of experience as a Fullstack developer;Demonstrated strong knowledge of Angular 2+, NodeJS SQL and/or NoSQL databases;Strong knowledge of handwritten Node.JS and Typescript;Ability to build the frontend of applications following the guidelines of the UI Kit/mockups coming from the Design TeamExperience developing and using REST APIs to retrieve data from the backendInterest in new technologies: Docker, AWS, Enterprise Level ApplicationsStrong attention to detail and astute diagnostic skillsAbility to look at your development within a product use case and measure quality upon itA codeplex, github link, portfolio or website attached to the application

Responsibilities:

Develop new Docebo products in a service-oriented environment, using Javascript, Typescript, Node.JS, Angular 9+ and other serverless technologies as the main codebase;Follow project development and manage tasks related to the project's implementationDevelop code with a focus on quality, working closely with QA and with a TDD approachProperly document code in English and make it reusable to other teamsWork in an Agile, Scrum international team with other backend and frontend developers

Preferred Requirements:

General knowledge of HTML5, SASS, Angular 9+, RxJSExperience in a Cloud or SaaS development environmentFamiliarity with AWS AppSyncKnowledge of bash and shell scriptingBachelor's degree in Computer ScienceExperience with TDD methodology

Benefits & Perks 😍

Inclusive and flexible work environmentGenerous Vacation Policy, plus 2 extra floating holidays to use for religious or cultural events that matter to youEmployee Share Purchase PlanCareer progression/internal mobility opportunitiesThree employee resource groups to get involved with (the Docebo Women's Alliance, PRIDE, and Green Ambassadors)

About Docebo 💙

Here at Docebo, we power learning experiences for over 2,900 customers around the world with our easy-to-use, AI-powered Suite designed to close the enterprise learning loop. We have successfully achieved 2 IPOs ( TSX: DCBO & NASDAQ: DCBO ), been recognized as a Top SaaS e-learning Solution, and are growing exponentially in the process.

Docebo is a global company with offices in North America, EMEA, APAC and more. Our people believe in six core values, simply defined and manifested in everything we do - Innovation, Simplicity, Accountability, Togetherness, Curiosity, and Impact. If this sounds like you, now is your time to join one of the fastest-growing learning technology companies on the market. Apply today!

Docebo is an Equal Employment Opportunity employer. We are committed to diversity and inclusion in our workforce. All qualified applicants and employees will receive consideration for employment regardless of their race, color, religion, sex (including pregnancy, gender identity, and sexual orientation), national origin, citizenship status, age, disability, genetic information, or any other category protected under applicable law.

Any individuals requiring a reasonable accommodation to assist with their job search or application for employment should send an e-mail to recruiting_accommodations (at) docebo.com. The e-mail should include a description of the requested accommodation and the position you’re applying for or interested in.


    "|https://www.linkedin.com/jobs/view/3178625004|2022-07-25 14:15:49.499944
5|Italy|Fullstack Developer|Full Stack Developer|ROMI Agency|Italy|2 days ago|50 applicants|Remote|Full-time|Entry level|11-50 employees|E-Learning Providers|"
          Stiamo cercando un Junior FullStack Developer da inserire nel nostro Team.
Come FullStack Developer ti troverai a lavorare in un team di Marketing, con l'obiettivo di seguire diversi progetti di sviluppo web, ottimizzare velocità, stabilità e scalabilità di server e codice, analizzare e risolvere problemi nel codice (testing e debugging) ecc... a supporto delle strategie di Marketing per i diversi clienti di ROMI.
LE NOSTRE CARTE IN TAVOLA:Potrai relazionarti con aziende selezionate, di alto profilo e con disponibilità di investimento.Potrai lavorare con procedure definite, collaudate e altamente performanti.Potrai lavorare da remoto ovunque tu sia.Potrai lavorare esclusivamente con aziende per cui siamo sicuri che le nostre attività porteranno un beneficio concreto in termini di crescita e risultati.Potrai far parte del Team di ROMI dove troverai costante supporto per il raggiungimento degli obiettivi.
COSA DOVRAI FARECreare e integrare APIEseguire tracciamenti Server SideAggiornare e mantenere il codiceAnalizzare e risolvere problemi nel codiceOttimizzare caricamento di pagine web
CHI STIAMO CERCANDOLinguaggi di programmazione (JAVA, PHP, C#, Python, etc..)Tecnologie frontend (HTML, CSS, JavaScript, jQuery, etc)Principi di design, user experience e user interface (UX/UI)Database (MySQL, MariaDB, MongoDB…) e modellazione dati
I NOSTRI VALORI | Le persone che entrano in ROMI devono identificarsi con la nostra cultura aziendale
1. IntegritàRispettiamo la parola data ai membri del team e ai clienti.
2. ResponsabilitàPrendiamo a cuore i clienti e li vogliamo davvero aiutare nella crescita della propria azienda.
3. AmoreVerso ciò che facciamo. Significa non accontentarsi, non essere superficiali, voler andare oltre.
4. LeggerezzaCapacità di non prendersi troppo sul serio. Di fare le cose serie ma non seriamente, di divertirsi e di non appesantire le cose!
5. ConcretezzaArrivare alle soluzioni senza soffermarsi sui problemi.
6. Senso di squadraCapacità di mettersi in gioco, di andare oltre il proprio ruolo e di essere di supporto quando è necessario.
7. UmiltàEgo is the enemy
BONUS ULTERIORIFormazione, corsi, libri e percorsi di accelerazione professionale offerti da ROMI.Vacanze aziendali di team building di 4-7 giorni per divertirci insieme e conoscerci meglio.
Se ami le sfide e la crescita:Entra a far parte della prima agenzia in Italia specializzata nel Marketing per Società di Servizi.
Compila il form per candidarti:https://form.typeform.com/to/Xx1DMWdj
NOTA: se pensi che questo lavoro non faccia per te ma conosci qualcuno a cui potrebbe interessare condividi questo annuncio. Te ne saremo grati!
    "|https://www.linkedin.com/jobs/view/3180503141|2022-07-25 14:16:09.727588
6|Italy|Fullstack Developer|Fullstack Developer (Node.js + Angular)|Docebo|Milan, Lombardy, Italy|2 days ago|6 applicants|Remote|Full-time|Entry level|501-1,000 employees|E-Learning Providers|"
          Hey you! 👋 Want to work for one of the fastest growing SaaS companies in the world?📈

We’re building the next generation of learning software that companies like AWS, Netflix, Opentable and L’Oreal rely on to deliver training 💻We believe learning is for everyone, and that we all have something we can learn from each other. We rely on one another to continuously innovate our products and processes to create an exceptional experience for our employees, customers and partners.

Still not sure? We are a culture where values are at the center of everything we do. We also embody what we call the Docebo Heart. We trust our teammates, assume the best of one another, and also hold space for all the differences that make us better. 💙

So what are you waiting for? Apply today! Join 700+ global Docebians and change the way people learn.

Are you ready to be a part of the learning revolution?🚀

About This Opportunity:

We are looking for a Full Stack Developer (Node.JS/Angular) who will play a key role in our product development team by helping develop our award-winning, AI-powered Suite. Your contributions will directly impact the growth and future of Docebo. Our team believes in a positive work-life balance and in doing challenging, yet impactful work.

Reports to: Software Development Manager

Location: Biassono, Italy (or remote in Italy)

Requirements:

3+ Years of experience as a Fullstack developer;Demonstrated strong knowledge of Angular 2+, NodeJS SQL and/or NoSQL databases;Strong knowledge of handwritten Node.JS and Typescript;Ability to build the frontend of applications following the guidelines of the UI Kit/mockups coming from the Design TeamExperience developing and using REST APIs to retrieve data from the backendInterest in new technologies: Docker, AWS, Enterprise Level ApplicationsStrong attention to detail and astute diagnostic skillsAbility to look at your development within a product use case and measure quality upon itA codeplex, github link, portfolio or website attached to the application

Responsibilities:

Develop new Docebo products in a service-oriented environment, using Javascript, Typescript, Node.JS, Angular 9+ and other serverless technologies as the main codebase;Follow project development and manage tasks related to the project's implementationDevelop code with a focus on quality, working closely with QA and with a TDD approachProperly document code in English and make it reusable to other teamsWork in an Agile, Scrum international team with other backend and frontend developers

Preferred Requirements:

General knowledge of HTML5, SASS, Angular 9+, RxJSExperience in a Cloud or SaaS development environmentFamiliarity with AWS AppSyncKnowledge of bash and shell scriptingBachelor's degree in Computer ScienceExperience with TDD methodology

Benefits & Perks 😍

Inclusive and flexible work environmentGenerous Vacation Policy, plus 2 extra floating holidays to use for religious or cultural events that matter to youEmployee Share Purchase PlanCareer progression/internal mobility opportunitiesThree employee resource groups to get involved with (the Docebo Women's Alliance, PRIDE, and Green Ambassadors)

About Docebo 💙

Here at Docebo, we power learning experiences for over 2,900 customers around the world with our easy-to-use, AI-powered Suite designed to close the enterprise learning loop. We have successfully achieved 2 IPOs ( TSX: DCBO & NASDAQ: DCBO ), been recognized as a Top SaaS e-learning Solution, and are growing exponentially in the process.

Docebo is a global company with offices in North America, EMEA, APAC and more. Our people believe in six core values, simply defined and manifested in everything we do - Innovation, Simplicity, Accountability, Togetherness, Curiosity, and Impact. If this sounds like you, now is your time to join one of the fastest-growing learning technology companies on the market. Apply today!

Docebo is an Equal Employment Opportunity employer. We are committed to diversity and inclusion in our workforce. All qualified applicants and employees will receive consideration for employment regardless of their race, color, religion, sex (including pregnancy, gender identity, and sexual orientation), national origin, citizenship status, age, disability, genetic information, or any other category protected under applicable law.

Any individuals requiring a reasonable accommodation to assist with their job search or application for employment should send an e-mail to recruiting_accommodations (at) docebo.com. The e-mail should include a description of the requested accommodation and the position you’re applying for or interested in.


    "|https://www.linkedin.com/jobs/view/3178625003|2022-07-25 14:16:23.082735
7|Italy|Fullstack Developer|Fullstack Developer at BurdaForward Italia (m/f/x)|BurdaForward|Bari, Apulia, Italy|6 days ago|7 applicants|Hybrid|Full-time|Mid-Senior level|501-1,000 employees|Media Production|"
          BurdaForward strives for journalistic innovation with leading publishing brands and the latest technology. With Focus Online, Chip, TV Spielfilm, Bunte.de, Finanzen100, NetMoms, The Weather Channel, EFahrer.com, Fit for fun, Cinema and Cardscout, we inspire almost 70 percent of all internet users in Germany (AGOF digital facts) and are a driving force of the public debate – also by tradition: BurdaForward is part of the family-owned company Hubert Burda Media.
What you can expect from us...At the Content Technologies Team at BurdaForward our goal is to build and extensible, modular, end to end and multi brand publishing framework which enables the company to write and publish articles on all our brands using one technology. This means that your code will have a direct impact on more than 10 Mio unique users a day and carries the need to high quality in all areas from code to SEO, to speed, to legal. If you are up to the challenge in designing and building that technology with us then join us today.
You will work with the team which is building an extensible and modular publishing platform/framework which will consolidate and run all BurdaForward portfolio bandsYou will design the module architecture- and do feature-development of the publishing frameworkYou will onboard new brands and new in-house development teams on the frameworkYou will maintain and constantly improving the code along the wayYou will help building processes to keep the quality of the software in a good shape and in the same time make it usable to othersYou will help taking the responsibility in keeping a high technical quality framework
What we would expect from you...You can have experience in backend and frontend development skillsYou are strong in building web applications and APIs using HTML, CSS, Javascript and Typescript in combination with Node.js and frameworks like ExpressYou have experience in any web-development frontend frameworks like VueJs, ReactJs, Angular, SvelteYou have knowledge in CSS preprocessors like SASS, SCSSYou are comfortable in writing code both in JavaScript and TypeScriptNice to have: experience with cloud technologies like AWS Lambda, ECS, SQS/SNS, S3 or comparableYou have basic knowledge of testing applications with unit and integration tests You have experience in working in agile teams and you have fun in working with international and remote teamsYou have good English communication skills
What we can offer you ...A wide range of responsibilities in a technology-driven environment in which your ideas really matter! More than 32 million people use and appreciate our articles and softwareSmart Working - we believe in flexibility when it comes to choosing where you deliver top-notch workA permanent employment contract with a competitive RALInternational spirit with nearly 800 employees from over 32 nations across all our locations! English will be your primary working languagePossibility to attend our English and German coursesA competent and motivated team, exciting tasks and freedom to design independently and give impulsesMobile first! Every employee receives a smartphone and laptop for private and professional use. You can choose between Mac or Windows deviceWe Care! We provide lunch vouchers, fruits, water and coffee in all our officesWe offer regular learning lunches, our annual internal Tech Forward conference and trainings programs throughout the year – enabling you to grow professionally and personally. Would you personally benefit from participating in an exciting specialist conference? We will try to make it happenA sunny office located in the center of Bari with a large terraceWe have flat hierarchies and encourage an open and direct communication
We look forward to receiving your application and CV in English.
    "|https://www.linkedin.com/jobs/view/3090499988|2022-07-25 14:16:48.536523
8|Italy|Fullstack Developer|Fullstack Developer (x/f/m)|Doctolib|Milan, Lombardy, Italy|1 week ago|71 applicants| |Full-time|Entry level|1,001-5,000 employees|Wellness and Fitness Services|"
          Doctolib is hiring Full Stack Developers (Senior and Mid-level) to work on our productivity software for doctors. You will be writing and deploying secure, well-tested code that helps thousands of healthcare professionals spend more time caring for patients. 40 million patients use our website or our mobile app every month to book an appointment with a nearby doctor. That’s just the tip of the iceberg though, under the hood we help 100,000+ doctors by building software that increase their productivity.

Doctolib was built by three co-founders in 2013. Our two technical co-founders Jessy and Ivan were the first Full Stack Developers here. As a Full Stack Developers you will work like them, deploying code into production every day, taking your own development decisions and developing an awesome user focused product that helps millions of people. What we are building is hyper secure, test driven and pragmatically user friendly. This is thanks to our tech values:
User first: Both patients and professionals, we always put our users first.Ownership: The product must be ours so we can make the right decisions.Keep the stack simple: Be pragmatic, no tech just for the sake of tech.Learn & Grow: Everything goes fast, but we help you to grow and learn with us.Security and Reliability: We take this very seriously and embrace privacy by design.

We have more than 200 Full Stack Developers working in our offices in Paris, Berlin and Milan. We hire in a programming language agnostic manner but to give you an idea of the environment you will be working in: the platform runs on Ruby on Rails, backed by PostgreSQL and Redis. On the front end, we bet on modern React (context, hooks…), even for our mobile apps. Of course, we can and do make exceptions when we need to, so we also have an ElasticSearch cluster and a bit of C++ for specific features. We host all of our data in two AWS regions.

Our Full Stack Developers work in small feature focused teams, each dedicated to a specific challenge we are tackling. You are supported by the Infrastructure, Tooling and Security teams to help you focus on what you do best: building features! Each team is focused on one KPI per quarter and consists of 4–5 developers working directly with one product manager, one engineering manager, design and data to help healthcare professionals. Our feature teams are focused on building features that help Doctors and Patients and providing technology that enables better Telehealth, Patient Identity Management, Integrations with Hospital Information Systems (HIS) and internal data and business scale systems.

We believe that as a developer, you will enjoy this job because of the environment we have built, the people you will work with and the responsibility you will be given. This job is mainly about building features, but building the best tech is the key to our success. You can read more about our environment on our careers page or on our blog. Apply now and our team will be happy to show you.

What we look for is someone who is proactive, involved, curious and collaborative. You write test driven, pragmatically engineered code. We don’t mind if you have not worked in a Ruby/React environment: if you are ready to learn, we are ready to teach you.

We provide you an amazing package to join the team, training, medical insurance, Docto trips, monthly Docto parties, and more.

About The Remote Policy At Doctolib

As of October 2021, we provide 3 working modes:
Remote: you work remotely and meet your team at the office once a month. Hybrid: you work remotely 2 to 3 days per week and from the office on the other days. Office-based: you work from the office. 

Apply now. Join us on this mission. We are excited to help you grow with us.

About Doctolib

Founded in 2013, Doctolib is one of Europe’s fastest growing healthcare technology companies. Everyday we strive to fulfill three entrepreneurial missions:
 Improve the daily life of healthcare personnel Improve patient access to healthcare and patient health Build a team of entrepreneurs with humanist values

We are dedicated to creating useful solutions for healthcare personnel and patients, regardless of age, condition or location. We strongly believe in prioritizing data privacy as we continue to build services with a positive social impact for the long run.

At Doctolib, we don’t just accept diversity, we respect and celebrate it! We’re proudly committed to equal employment opportunities regardless of your gender, religion, age, sexual orientation, ethnicity, disability or place of origin. We take care of each other and are grateful for each Doctoliber’s contribution to our mission!

You have the feeling to need more information? Feel free to dig into Doctolib's...

> Engineering culture

> Blog posts

> Github

Ready to apply as Engineer at Doctolib now? Hit the apply button!
    "|https://www.linkedin.com/jobs/view/2840553024|2022-07-25 14:17:14.929838
9|Italy|Fullstack Developer|Senior FullStack Developer (Java)|Solera, Inc.|Minturno, Latium, Italy|5 days ago|7 applicants| |Full-time|Associate|5,001-10,000 employees|IT Services and IT Consulting|"
          The Role

Since 1994 Solera Italia develops software platforms and systems to support and manage the claims management processes for insurance companies from the first notification of loss till the settlement and allows the user to communicate between all involved stakeholders. Over the years the platform has increased in complexity to fulfill our customer’s needs in the management of trust networks for the Motor and Non-Life insurance sectors.

What You´ll Do
Creates features and services by developing, implementing, and maintaining Java based components and interfaces.Defines site objectives by analyzing user requirements; envisioning system features and functionality.Designs and develops applications and services by setting expectations and features priorities throughout development life cycle; determining design methodologies and tool sets; completing programming using languages and software products; designing and conducting tests.Recommends system solutions by comparing advantages and disadvantages of custom development and purchase alternatives.Integrates applications by designing database architecture and server scripting; studying and establishing connectivity with network systems, search engines, and information servers.Creates multimedia applications by using authoring tools.Completes applications development by coordinating requirements, schedules, and activities; contributing to team meetings; troubleshooting development and production problems across multiple environments and operating platforms.Supports users by developing documentation and assistance tools.Updates job knowledge by researching new internet/intranet technologies and software products; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.Enhances organization reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments.

What You´ll Bring
Strong Java development experience (Java 8 and onwards)Experience with modern enterprise frameworks such as Spring/SpringBootGood experience with SQL/NoSQL databasesExperience working with JavaScript, AngularA passion for programming and software qualityExperience mentoring developersA degree in Computer Science or a related subjectB2/C1 level EnglishDocker, Kubernetes is a plus

It is impossible to list every requirement for, or responsibility of, any position. Similarly, we cannot identify all the skills a position may require since job responsibilities and the Company’s needs may change over time. Therefore, the above job description is not comprehensive or exhaustive. The Company reserves the right to adjust, add to or eliminate any aspect of the above description. The Company also retains the right to require all employees to undertake additional or different job responsibilities when necessary to meet business needs.
    "|https://www.linkedin.com/jobs/view/3044328552|2022-07-25 14:17:53.268162
